                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       5      |      30           | (8.3113, 8.3113, 4.4582, 0.4984, 2.0169)  |    350.0954     |   445.5130              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       6      |      33           | (6.8355, 6.8355, 2.5415, -0.1283, 1.9388)  |    199.3311     |   98.2737              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       7      |      35           | (2.5325, 2.5325, 2.3169, -0.8898, 1.0272)  |    28.4726     |   50.9532              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       8      |      37           | (0.8401, 0.8401, 1.7088, -0.9733, 1.2562)  |    4.5366     |   19.2096              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |       9      |      39           | (0.3419, 0.3419, 1.5964, -1.0207, 1.2603)  |    1.6599     |   4.8114              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      10      |      41           | (0.0140, 0.0140, 1.4882, -1.0703, 1.2625)  |    0.4385     |   3.3126              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      11      |      43           | (-0.1443, -0.1443, 1.3979, -1.1146, 1.2628)  |    0.0790     |   2.0095              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      12      |      44           | (-0.4374, -0.4374, 1.1129, -1.2592, 1.2616)  |    -0.1473     |   1.4761              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      13      |      45           | (-0.3013, -0.3013, 0.9958, -1.3235, 1.2589)  |    -0.5208     |   2.0952              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      14      |      46           | (-0.3414, -0.3414, 0.6907, -1.4915, 1.2480)  |    -0.7827     |   1.3978              |
